Participant Number,Sensor Name,Comfort Rating Scale - Emotion,Comfort Rating Scale -Attachment,Comfort Rating Scale - Harm,Comfort Rating Scale - Perceived Change,Comfort Rating Scale - Movement,Comfort Rating Scale - Anxiety,Sensor Discomfort Feedback
Sub21,"Insole-Type 
Pressure Sensor",1,6.5,1,6,6,1,Size mismatch and slipperiness made the center of mass drift backward at impact.
Sub21,Pupil Invisible,1,6,1,6.5,1.5,1,The participant was not used to glasses and slipping plus a changed field of view felt distracting.
Sub22,Perception Neruon Studio,1.5,2.5,1,2,2.5,1,The arm straps tended to slip down in high movement areas.
Sub22,"Insole-Type 
Pressure Sensor",2.5,1.5,1,2.5,2.5,1,Slipperiness made it hard to control pressure distribution especially for golfers who actively use lower body.
Sub22,Pupil Invisible,1,2,1,1.5,2,1,The glasses slipped down when the head dipped at impact and tighter non slip sports sunglasses were suggested.
Sub23,Perception Neruon Studio,3,2.5,1,2.5,2.5,2,Attachment and detachment felt cumbersome and annoying.
Sub23,"Insole-Type 
Pressure Sensor",3,5.5,6.5,6.5,7,7,The slippery feel required extra stabilization and caused ankle discomfort.
Sub23,Pupil Invisible,1,2,1,2,2.5,1,There was no notable discomfort.
Sub24,Perception Neruon Studio,3.5,6.5,2,7,7,1,The straps caused mild foreign body sensation but were not severely uncomfortable.
Sub24,"Insole-Type 
Pressure Sensor",4,7,2.5,7,5,1,There was no notable discomfort.
Sub24,Pupil Invisible,7,7,4,7,7,5,"The glasses shook and the frame blocked view significantly, which felt like it reduced overall movement flexibility."
